,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
184383,,138442,59636,FGC 1226,36.47,,197.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
184384,,138443,59636,FGC 1226,36.49,,199.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
184385,,138444,59636,FGC 1226,36.5,,200.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
184386,,138445,59636,FGC 1226,36.54,,203.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
184490,,138549,59713,AGC 215286,30.34,,11.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
184494,,138553,59717,FGC 1227,34.21,,69.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
184495,,138554,59717,FGC 1227,34.23,,70.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
184496,,138555,59717,FGC 1227,34.24,,70.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
184497,,138556,59717,FGC 1227,34.29,,72.2,Tully-Fisher,2000BSAO...50....5K,,,,,20,
184502,,138561,59722,IC 2715,30.34,,11.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
184602,,138648,59794,SDSS J111928.09+093544.2,31.57,,20.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
184666,,138711,59857,SDSS J111945.26+153008.0,33.04,,40.5,Tully-Fisher,2015AstBu..70....1K,,,,,35,
184729,,138774,59907,UGC 06341,31.85,,23.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
185603,,139627,60473,NGC 3649,34.11,,66.4,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,Diameter
185654,,139678,60518,SDSS J112223.40+114738.1,32.3,,28.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
185814,,139838,60647,IC 2781,32.2,,27.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
185878,,139902,60693,SDSS J112259.13+122737.6,31.37,,18.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
185880,,139904,60695,LSBC D570-03,32.37,,29.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
185937,,139961,60741,AGC 215414,30.23,,11.1,Tully-Fisher,2015AstBu..70....1K,,,,,35,
186389,,140393,61084,NGC 3664A,32.1,,26.3,Tully-Fisher,2015AstBu..70....1K,,,,,35,
186503,,140507,61170,SDSS J112444.50+151631.4,32.96,,39.1,Tully-Fisher,2015AstBu..70....1K,,,,,35,
186838,,140828,61417,IC 0692,31.18,,17.2,Tully-Fisher,2015AstBu..70....1K,,,,,35,
186875,,140865,61452,SDSS J112603.36+080432.3,31.57,,20.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
186895,,140885,61472,SDSS J112608.29+040344.5,31.2,,17.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
187198,,141188,61725,IC 2828,30.76,,14.2,Tully-Fisher,2015AstBu..70....1K,,,,,35,
187643,,141633,62035,SDSS J112824.27+060704.2,31.25,,17.8,Tully-Fisher,2015AstBu..70....1K,,,,,35,
187795,,141785,62156,LSBC D571-06,31.87,,23.7,Tully-Fisher,2015AstBu..70....1K,,,,,35,
187961,,141951,62298,FGC 1255,35.94,,155.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
187962,,141952,62298,FGC 1255,35.96,,156.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
187963,,141953,62298,FGC 1255,35.98,,157.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
187964,,141954,62298,FGC 1255,35.98,,157.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
188296,,142286,62561,FGC 1257,35.62,,133.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
188297,,142287,62561,FGC 1257,35.65,,135.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
188298,,142288,62561,FGC 1257,35.66,,136.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
188299,,142289,62561,FGC 1257,35.66,,136.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
188444,,142434,62702,SDSS J113053.17+140843.0,29.65,,8.5,Tully-Fisher,2015AstBu..70....1K,,,,,35,
188516,,142506,62767,SDSS J113108.88+133413.4,30.57,,13.0,Tully-Fisher,2015AstBu..70....1K,,,,,35,
188729,,142719,62923,UGC 06502,35.79,,144.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
188730,,142720,62923,UGC 06502,35.8,,144.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
188731,,142721,62923,UGC 06502,35.81,,145.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
188732,,142722,62923,UGC 06502,35.99,,158.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
188827,,142817,63013,KUG 1129+148,32.99,,39.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
188941,,142931,63100,NGC 3720,35.33,,116.0,Tully-Fisher,1984A&AS...56..381B,,,103.0,,4,B
