,objname,j2000,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
2003,UGC03253                      ,J051941.5+840309,2,4.533293342706813,62.314699726671186,9.802070117231638,9.943879583179926,9.346839879016903,56.81666108931235,67.36663334556958
2004,UGC03275                      ,J051646.3+063721,2,11.024567533179555,136.92231377405216,21.231952600578406,27.91495100707402,21.465841434036143,123.6806366124267,148.9427296222281
2005,UGC03283                      ,J051745.9-011113,2,5.226754060907798,68.65031419160012,10.88247406678349,13.17769370578017,10.656101102396164,62.41103366482712,74.58774711692783
2006,UGC03319                      ,J053414.4+701129,2,6.449129782394312,68.1354898601659,10.879188291113744,19.17222480941322,11.67375839443189,60.857863969564576,75.28776842155015
2007,UGC03326                      ,J053937.1+771845,2,6.10257953737142,82.0275304567965,12.975409816079507,13.059173670457815,12.371985119209059,74.91255649156061,88.73915065376015
2008,UGC03329                      ,J053632.4+163829,12,8.48371865057036,69.41682250850457,0.695278479611772,5.407113350792705,5.464753045891873,60.944075151994134,77.17813857240861
2009,UGC03354                      ,J054718.2+560645,2,3.32753088136407,44.11103330014441,6.994032416742727,8.469141887270695,6.877793578166575,40.06129436949276,47.85718873570437
2010,UGC03373                      ,J055907.6+783035,2,4.324568787691766,59.389747413956165,9.415478478031488,9.656312820119636,9.019725752393496,54.261289345178795,64.19852967662734
2011,UGC03375                      ,J055525.3+515438,3,11.7745967969969,64.64180449085296,4.744013454717878,14.54860456498067,13.00608506229448,54.42887188376541,78.30667493349793
2012,UGC03403                      ,J061036.4+712309,4,2.5345623970753524,17.8661175868842,1.8138870673501624,2.2529569434696604,2.546242150576757,15.47421415646049,20.6401840634416
2013,UGC03413                      ,J061700.8+810816,2,3.2368547524070905,43.88844835389601,6.928864479528452,7.064955375356785,6.6726859411669,40.07421452360883,47.50835198226239
2014,UGC03432                      ,J061613.6+570305,8,7.3877352508649885,63.32129953295008,0.8342206286271121,4.508650586974744,5.704306375728555,57.689346161436106,71.16161899031663
2015,UGC03524                      ,J064400.6+122407,2,3.048858980662992,45.021758248668135,2.9762682976819295,4.5295981352439805,3.926150395685274,42.656391940865326,47.82325816914626
2016,UGC03539                      ,J064853.9+661541,2,3.6911175780113528,47.47760058034075,7.541347485012559,9.64198756093933,7.367750532681275,43.067722155899894,51.503189721148885
2017,UGC03561                      ,J065120.1+495309,2,6.137962183286291,84.5631347742791,13.327860173667311,13.349421943353466,12.637932529219135,77.26893817587873,91.31655009882319
2018,UGC03576                      ,J065306.9+500203,8,11.99037248459597,89.32713921539332,1.4303281990305143,6.459949509761038,6.941276963537804,72.64186380439816,96.64998278770602
2019,UGC03595                      ,J065600.4+552403,2,5.527424631597791,110.478109430582,2.387713213337,15.466779799573244,7.798294218712337,104.97038214636787,115.99141806356891
2020,UGC03600                      ,J065540.0+390543,2,0.3296100996113592,10.306385587929972,0.7161538582782097,0.7404114108778326,0.6853313164633662,9.920617027718619,10.681693778173683
2021,UGC03611                      ,J065711.7+202615,2,2.9466916668336056,72.56075165590418,2.0590252445197317,8.610518828844507,4.243314225253395,69.59413218447209,75.50168900730932
2022,UGC03627                      ,J070105.0+511611,2,5.389397306461003,73.80829958294035,11.6590205323751,11.88801715273328,11.259603259125258,67.32698486946875,79.9701757376866
2023,UGC03634                      ,J070136.8+140807,7,7.755742539707672,108.08511501233929,0.974402207086058,9.013584125129173,6.042598552412063,100.98938399988336,116.07294383309385
2024,UGC03675                      ,J071024.1+745328,2,4.526779700596459,61.15277049050359,9.661014253745625,9.972739701774227,9.25732838813446,55.84373260483202,66.22379990154558
2025,UGC03691                      ,J070801.3+151042,3,3.078343745687969,28.87060773543426,1.6800836260566023,2.5934791196066556,3.1457474882037175,25.029243063938825,30.862604736527867
2026,UGC03698                      ,J070918.3+442248,2,0.5745298698170734,11.291672015857973,0.9387725075435235,0.9396069721594329,0.9894377042917609,10.742707128446686,11.838379162267733
2027,UGC03717                      ,J071314.4+735035,2,3.836084495090097,52.292085261198245,8.21975339860961,8.249643509599473,7.845303392873511,47.85648987099874,56.615654251406355
2028,UGC03725                      ,J071141.7+495146,3,10.085124744671178,75.1793778408033,1.3996604008037972,12.561462633675204,12.539241320075865,66.09435572733763,86.3354745619308
2029,UGC03749                      ,J071553.8+675902,3,3.090429087773431,26.85305269642869,3.2328987847615047,3.258811919412512,3.7949748383117448,23.87379030462166,30.40628820475565
2030,UGC03755                      ,J071351.7+103117,6,1.3339637303986787,6.409005762030078,0.08771217976401265,1.371682100269233,0.9819287023767219,4.999715503381629,7.665987927238213
